lead_key,business_name,city,category,phone,number_type,channel,lead_tier,lead_score,message,wa_link,status
ph:+919963485054,Pet Park Clinic,Hyderabad,Veterinary Care,+919963485054,mobile,whatsapp,HOT,85,"Hi Pet Park Clinic, this is TKVibes — a web studio based in Delhi. I saw your veterinary care on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919963485054?text=Hi%20Pet%20Park%20Clinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20veterinary%20care%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+918179388179,Vet Spot The Animal Hospital-Emergency service Regular body checkup Deworming - Surgeries -Critical care unit-Tick bathing,Hyderabad,Veterinary Care,+918179388179,fixed_or_mobile,whatsapp,HOT,85,"Hi Vet Spot The Animal Hospital-Emergency service Regular body checkup Deworming, this is TKVibes — a web studio based in Delhi. I saw your veterinary care on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/918179388179?text=Hi%20Vet%20Spot%20The%20Animal%20Hospital-Emergency%20service%20Regular%20body%20checkup%20Deworming%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20veterinary%20care%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+918297397702,Cornerstone Pet Clinic,Hyderabad,Veterinary Care,+918297397702,mobile,whatsapp,HOT,85,"Hi Cornerstone Pet Clinic, this is TKVibes — a web studio based in Delhi. I saw your veterinary care on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/918297397702?text=Hi%20Cornerstone%20Pet%20Clinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20veterinary%20care%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919989510598,UKM VET HOSPITAL,Hyderabad,Veterinary Care,+919989510598,mobile,whatsapp,HOT,85,"Hi UKM VET HOSPITAL, this is TKVibes — a web studio based in Delhi. I saw your veterinary care on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919989510598?text=Hi%20UKM%20VET%20HOSPITAL%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20veterinary%20care%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+917989033467,"PULPA'S VETERINARY CLINIC [ Pet Grooming, Pet Accessories, Pet food ,Veterinary Medicine ]",Hyderabad,Veterinary Care,+917989033467,mobile,whatsapp,HOT,85,"Hi PULPA'S VETERINARY CLINIC [ Pet Grooming, Pet Accessories, Pet food ,Veterinary Medicine ], this is TKVibes — a web studio based in Delhi. I saw your veterinary care on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/917989033467?text=Hi%20PULPA%27S%20VETERINARY%20CLINIC%20%5B%20Pet%20Grooming%2C%20Pet%20Accessories%2C%20Pet%20food%20%2CVeterinary%20Medicine%20%5D%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20veterinary%20care%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919704062333,Dr. Aparna Krishnappa - Best Dermatologist In Banjara Hills,Hyderabad,Doctor,+919704062333,mobile,whatsapp,HOT,85,"Hi Dr. Aparna Krishnappa, this is TKVibes — a web studio based in Delhi. I saw your doctor on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919704062333?text=Hi%20Dr.%20Aparna%20Krishnappa%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20doctor%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919493355534,KALYAN PHYSIOTHERAPY & REHABILITATION CENTRE,Hyderabad,Medical Clinic,+919493355534,mobile,whatsapp,HOT,85,"Hi KALYAN PHYSIOTHERAPY & REHABILITATION CENTRE, this is TKVibes — a web studio based in Delhi. I saw your medical clinic on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919493355534?text=Hi%20KALYAN%20PHYSIOTHERAPY%20%26%20REHABILITATION%20CENTRE%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20medical%20clinic%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919963731573,Sri rama Healing Hastha Physiotherapy and advanced rehabilitation center,Hyderabad,Medical Clinic,+919963731573,mobile,whatsapp,HOT,85,"Hi Sri rama Healing Hastha Physiotherapy and advanced rehabilitation center, this is TKVibes — a web studio based in Delhi. I saw your medical clinic on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919963731573?text=Hi%20Sri%20rama%20Healing%20Hastha%20Physiotherapy%20and%20advanced%20rehabilitation%20center%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20medical%20clinic%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919391669652,Hema's Children and Newborn Clinic | Dr. Aditya Kumar Verma | Pediatrician and Allergy and Asthma specialist| Hyderabad,Hyderabad,Medical Clinic,+919391669652,mobile,whatsapp,HOT,85,"Hi Hema's Children and Newborn Clinic, this is TKVibes — a web studio based in Delhi. I saw your medical clinic on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919391669652?text=Hi%20Hema%27s%20Children%20and%20Newborn%20Clinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20medical%20clinic%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+917207167382,Minhaj Ul Haq Paediatric Clinic,Hyderabad,Doctor,+917207167382,mobile,whatsapp,HOT,85,"Hi Minhaj Ul Haq Paediatric Clinic, this is TKVibes — a web studio based in Delhi. I saw your doctor on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/917207167382?text=Hi%20Minhaj%20Ul%20Haq%20Paediatric%20Clinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20doctor%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919908560184,Kids First Children's Clinic & Vaccination centre | Dr. Keerti Kulkarni Paediatrician & Newborn specialist in Kokapet,Hyderabad,Doctor,+919908560184,mobile,whatsapp,HOT,85,"Hi Kids First Children's Clinic & Vaccination centre, this is TKVibes — a web studio based in Delhi. I saw your doctor on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919908560184?text=Hi%20Kids%20First%20Children%27s%20Clinic%20%26%20Vaccination%20centre%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20doctor%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+918143802069,DOVE CHILDREN’S CLINIC,Hyderabad,Doctor,+918143802069,mobile,whatsapp,HOT,85,"Hi DOVE CHILDREN’S CLINIC, this is TKVibes — a web studio based in Delhi. I saw your doctor on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/918143802069?text=Hi%20DOVE%20CHILDREN%E2%80%99S%20CLINIC%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20doctor%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+917995916038,Dr. Sanjeev Kumar,Hyderabad,Doctor,+917995916038,mobile,whatsapp,HOT,85,"Hi Dr. Sanjeev Kumar, this is TKVibes — a web studio based in Delhi. I saw your doctor on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/917995916038?text=Hi%20Dr.%20Sanjeev%20Kumar%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20doctor%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+918299692562,"Shri Siddhivinayaka Heart and Diabetic Clinic, Dr Panduranga |Best Cardiologist in Suncity Hyderabad | 2 D Echo| ECG| TMT",Hyderabad,Doctor,+918299692562,mobile,whatsapp,HOT,85,"Hi Shri Siddhivinayaka Heart and Diabetic Clinic, Dr Panduranga, this is TKVibes — a web studio based in Delhi. I saw your doctor on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/918299692562?text=Hi%20Shri%20Siddhivinayaka%20Heart%20and%20Diabetic%20Clinic%2C%20Dr%20Panduranga%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20doctor%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919052195808,Dr Azhar Cardiologist’s HEALTH SPACE Heart and Speciality clinic| HYDERABAD,Hyderabad,Medical Clinic,+919052195808,mobile,whatsapp,HOT,85,"Hi Dr Azhar Cardiologist’s HEALTH SPACE Heart and Speciality clinic, this is TKVibes — a web studio based in Delhi. I saw your medical clinic on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919052195808?text=Hi%20Dr%20Azhar%20Cardiologist%E2%80%99s%20HEALTH%20SPACE%20Heart%20and%20Speciality%20clinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20medical%20clinic%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919849792919,Uma Heart Clinic,Hyderabad,Medical Center,+919849792919,mobile,whatsapp,HOT,85,"Hi Uma Heart Clinic, this is TKVibes — a web studio based in Delhi. I saw your medical center on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919849792919?text=Hi%20Uma%20Heart%20Clinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20medical%20center%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+918686422333,jitender jain insurance services,Hyderabad,Insurance Agency,+918686422333,fixed_or_mobile,whatsapp,HOT,85,"Hi jitender jain insurance services, this is TKVibes — a web studio based in Delhi. I saw your insurance agency on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/918686422333?text=Hi%20jitender%20jain%20insurance%20services%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20insurance%20agency%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+917997186422,ICICI- Health Insurance.,Hyderabad,Insurance Agency,+917997186422,mobile,whatsapp,HOT,85,"Hi ICICI- Health Insurance., this is TKVibes — a web studio based in Delhi. I saw your insurance agency on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/917997186422?text=Hi%20ICICI-%20Health%20Insurance.%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20insurance%20agency%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919963209591,EXPERT RERA SERVICES,Hyderabad,Real Estate Agency,+919963209591,mobile,whatsapp,HOT,85,"Hi EXPERT RERA SERVICES, this is TKVibes — a web studio based in Delhi. I saw your real estate agency on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919963209591?text=Hi%20EXPERT%20RERA%20SERVICES%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20real%20estate%20agency%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
